Lead_compaign_name,Full Name,Mobile,Alternate Mobile,Email,Area,Source,comments,Address,School College name,Status,Sub-status,Departmet,Course,ReferredFrom
Manually Added,Christopher,9199099999,8989383839,christoperthompson@gmail.com,,,nothing,,MAHARSHIVED VYAS VIDHYA SANKUL,1 - New,First Call,9,12,Hitesh Desai
Manually Added,Lynn,9199099999,8989383839,lymmmadrid@gmail.com,,,nothing,,MAHARSHIVED VYAS VIDHYA SANKUL,2 - Follow-up,Not Known,9,12,Hitesh Desai
Manually Added,Donald,9199099999,8989383839,donaldwheeler@gmail.com,,,nothing,,,,,,,
Manually Added,Margaret,9199099999,8989383839,margaretwashington@gmail.com,,,nothing,,,,,,,
Manually Added,William,9199099999,8989383839,williamolivaraz@gmail.com,,,nothing,,,,,,,
Manually Added,Larry,9199099999,8989383839,larryhenson@gmail.com,,,nothing,,,,,,,
Manually Added,Ladonna,9199099999,8989383839,ladonnahugjes@gmail.com,,,nothing,,,,,,,
Manually Added,Joshua,9199099999,8989383839,joshuatinker@gmail.com,,,nothing,,,,,,,
Manually Added,Damian,9199099999,8989383839,damiansalley@gmail.com,,,nothing,,,,,,,
Manually Added,Joyce,9199099999,8989383839,joycehollins@gmail.com,,,nothing,,,,,,,
Manually Added,Jan,9199099999,8989383839,janschuman@gmail.com,,,nothing,,,,,,,
Manually Added,Millie,9199099999,8989383839,millierichards@gmail.com,,,nothing,,,,,,,
Manually Added,Mary,9199099999,8989383839,marynavarrete@gmail.com,,,nothing,,,,,,,
Manually Added,Maggie,9199099999,8989383839,maggienoble@gmail.com,,,nothing,,,,,,,
Manually Added,Doris,9199099999,8989383839,dorisevans@gmail.com,,,nothing,,,,,,,
